"id_config","id_variable","tipo_variable","clave","valor","descripcion","tipo_valor","items","dependent_clave","dependent_valor","editable","co_operation","da_update"
69,30,"P","productMinMul","false","<p align=""justify""><b>¿Desea limitar los productos por la cantidad mínima de venta y su múltiplo? </b><br> SI: Limitar las unidades por un múltiplo, se debe generar el archivo ""PRODUCT_MIN_MUL_FAV"" <br> NO: No limitar las unidades por múltiplo</p>","selectBoolean","","","",True,"I","2026-04-29 17:18:47.901675"
70,31,"P","featuredProducts","true","<p align=""justify""><b>¿Desea utilizar una línea de producto destacado para mostrar productos de interés?</b><br> SI: Colocar el nombre de la estructura de destacados"" <BR> NO: Dejar el campo vacío</p>","selectBoolean","","","",False,"I","2025-10-13 09:35:54.40756"
71,32,"P","suggestedOrder","true","<p align=""justify""><b>¿Desea que Denario le de la posibilidad a los vendedores de cargar un pedido sugerido dada las tres ultimas facturaciones del cliente??</b><br> SI: Se mostrará un popup con la posibilidad de precargar el pedido sugerido"" <BR> NO: No se mostrara la funcionalidad de pedido sugerido</p>","selectBoolean","","","",False,"I","2025-10-13 09:35:54.40756"
72,33,"P","productValor","false","<p align=""justify""><b>¿Desea que Denario muestre las unidades de venta en los reportes de la app web??</b><br> SI: Se mostrará la columna del valor de la unidad de acuerdo al archivo PRODUCT_VALOR"" <BR> NO: No se mostrara la columna de product_valor</p>","selectBoolean","","","",False,"I","2025-10-13 09:35:54.40756"
73,34,"P","nameProductValor","kg","<p align=""justify""><b>Indique el nombre a mostrar en la columna product_valor </b><br> SI: Colocar el nombre de la columna product_valor <BR> NO: Dejar el campo vacío</p>","text","","","",True,"I","2025-10-14 11:00:12.906096"
74,35,"P","nuOrderEmail","true","<p align=""justify""><b>¿Desea ver el nro. orden en las plantillas de correo de pedidos?</b><br> SI: Se mostrará el nro. Orden en los correos<BR> NO: No se mostrara el nro. Orden</p>","selectBoolean","","","",False,"I","2025-10-13 09:35:54.40756"
75,36,"P","validateNuOrder","false","<p align=""""justify""""><b>¿Desea que el Número de orden de compra sea obligatorio al tomar pedido?</b><br> SI: El Número de orden será un campo obligatorio<BR> NO: No es obligatorio el campo de Número de orden</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
76,1,"C","cobroPrepago","true","<p align=""justify""><b>¿Desea utilizar la opciòn de prepagos/anticipos en el modulo de cobros?</b></b><br> SI: Se habilita la funcionalidad de prepago/anticipo <br> NO: No se habilita la funcionalidad de prepago/anticipo</p></p>","selectBoolean","","","",True,"I","2025-12-01 14:58:01.896637"
77,2,"C","cobroRetencion","true","<p align=""justify""><b>¿Desea utilizar la opciòn de retención en el modulo de cobros?</b></b><br> SI: Se habilita la funcionalidad de retención <br> NO: No se habilita la funcionalidad de retención</p></p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
78,3,"C","colletionPayment","true-false-true-true-true-true","<p align=""justify""><b>¿Qué formas de pago son permitidas para los cobros y adelantos (anticipos)? </b><br> Aquí puede seleccionar las formas de pago en el módulo de cobros","selectMultiple","Efectivo,Cheque,Transferencia,Deposito,Otros,Pago Movil","","",True,"I","2026-04-28 19:28:11.319265"
79,4,"C","tolerancia0","true","<p align=""justify""><b>¿Se permiten cobros con diferencia?</b><br> SI: Se permite cobros con diferencia (positiva/negativa) <br> NO: No se permite diferencia en los cobros</p>","selectBoolean","","","",True,"I","2025-10-15 09:10:07.704889"
80,5,"C","TipoTolerancia","0","<p align=""justify""><b>¿Cómo desea manejar el rango de tolerancia? </b><br> Seleccione cómo desea manejar la tolerancia; por importe, por rango</p>","selectFormat","Importe,Porcentaje","tolerancia0","true",True,"I","2025-10-13 09:35:54.40756"
82,7,"C","MonedaTolerancia","US$","<p align=""justify""><b>Seleccione la moneda para evaluar el monto máxtimo de tolerancia </b></p>","selectText","HardCurrency,LocalCurrency","TipoTolerancia","0",True,"I","2026-05-12 13:51:32.470312"
83,8,"C","automatedPrepaid","true","<p align=""justify""><b>¿Para cobros con diferencia positiva, desea generar un documento nuevo de abono automático?</b></b><br> SI: Se generará un abono automático <br> NO: No se generan abonos automáticos</p></p>","selectBoolean","","tolerancia0","true",True,"I","2026-02-13 17:00:41.828951"
